index,title,last_name,first_name,date,num_acts,url,num_present_characters,num_scenes_text,num_scenes_iarkho,speech_distribution,percentage_monologues,percentage_duologues,percentage_non_duologues,percentage_above_two_speakers,av_percentage_non_speakers,sigma_iarkho,number_scenes_with_discontinuous_change_characters,percentage_scenes_with_discontinuous_change_characters,coefficient_unused
C_1,The Comedy of Errors,Shakespeare,William,1592.0,5.0,https://dracor.org/api/corpora/shake/play/the-comedy-of-errors/tei,19.0,11.0,53.0,"[[ 1 11]
 [ 2 17]
 [ 3 13]
 [ 4  6]
 [ 5  2]
 [ 6  2]
 [ 9  1]
 [10  1]]",20.75,32.08,67.92,47.17,22.182,1.823,9.0,16.981,33.48
C_3,The Two Gentlemen of Verona,Shakespeare,William,1593.0,5.0,https://dracor.org/api/corpora/shake/play/two-gentlemen-of-verona/tei,17.0,20.0,71.0,"[[ 1 24]
 [ 2 32]
 [ 3  9]
 [ 4  4]
 [ 5  1]
 [ 6  1]]",33.8,45.07,54.93,21.13,14.272,1.021,19.0,26.761,21.11
C_4,Love’s Labor’s Lost,Shakespeare,William,1595.0,5.0,https://dracor.org/api/corpora/shake/play/love-s-labor-s-lost/tei,23.0,9.0,61.0,"[[ 1  9]
 [ 2 17]
 [ 3 13]
 [ 4  8]
 [ 5  7]
 [ 6  4]
 [ 8  1]
 [ 9  2]]",14.75,27.87,72.13,57.38,32.54,1.89,8.0,13.115,46.93
C_5,The Merchant of Venice,Shakespeare,William,1596.0,5.0,https://dracor.org/api/corpora/shake/play/the-merchant-of-venice/tei,24.0,20.0,75.0,"[[ 1 14]
 [ 2 38]
 [ 3 14]
 [ 4  3]
 [ 5  3]
 [ 6  2]
 [ 7  1]]",18.67,50.67,49.33,30.67,32.173,1.23,16.0,21.333,41.06
C_6,A Midsummer Night's Dream,Shakespeare,William,1596.0,5.0,https://dracor.org/api/corpora/shake/play/a-midsummer-night-s-dream/tei,28.0,9.0,87.0,"[[ 1 28]
 [ 2 31]
 [ 3 13]
 [ 4  9]
 [ 5  2]
 [ 6  4]]",32.18,35.63,64.37,32.18,42.766,1.321,10.0,11.494,53.4
C_7,The Tempest,Shakespeare,William,1599.0,5.0,https://dracor.org/api/corpora/shake/play/the-tempest/tei,20.0,9.0,63.0,"[[ 1 20]
 [ 2 19]
 [ 3  8]
 [ 4  9]
 [ 5  4]
 [ 6  2]
 [ 7  1]]",31.75,30.16,69.84,38.1,34.094,1.5,8.0,12.698,46.96
C_8,As You Like It,Shakespeare,William,1599.0,5.0,https://dracor.org/api/corpora/shake/play/as-you-like-it/tei,28.0,22.0,73.0,"[[ 1 11]
 [ 2 27]
 [ 3 25]
 [ 4  7]
 [ 5  2]
 [ 6  1]]",15.07,36.99,63.01,47.95,21.379,1.035,20.0,27.397,33.81
C_9,Twelfth Night,Shakespeare,William,1601.0,5.0,https://dracor.org/api/corpora/shake/play/twelfth-night/tei,21.0,18.0,98.0,"[[ 1 17]
 [ 2 46]
 [ 3 18]
 [ 4 13]
 [ 5  3]
 [ 7  1]]",17.35,46.94,53.06,35.71,26.056,1.115,18.0,18.367,41.19
C_10,All’s Well That Ends Well,Shakespeare,William,1602.0,5.0,https://dracor.org/api/corpora/shake/play/all-s-well-that-ends-well/tei,29.0,23.0,84.0,"[[ 1 15]
 [ 2 36]
 [ 3 18]
 [ 4  9]
 [ 5  4]
 [ 6  1]
 [ 8  1]]",17.86,42.86,57.14,39.29,25.239,1.268,21.0,25.0,35.47
C_11,Measure for Measure,Shakespeare,William,1604.0,5.0,https://dracor.org/api/corpora/shake/play/measure-for-measure/tei,24.0,17.0,97.0,"[[ 1 23]
 [ 2 43]
 [ 3 21]
 [ 4  7]
 [ 5  3]]",23.71,44.33,55.67,31.96,26.547,0.987,14.0,14.433,43.72
C_13,Cymbeline,Shakespeare,William,1609.0,5.0,https://dracor.org/api/corpora/shake/play/cymbeline/tei,42.0,27.0,107.0,"[[ 0  3]
 [ 1 32]
 [ 2 39]
 [ 3 24]
 [ 4  8]
 [11  1]]",29.91,36.45,63.55,30.84,29.332,1.297,27.0,25.234,42.6
C_14,The Winter's Tale,Shakespeare,William,1610.0,5.0,https://dracor.org/api/corpora/shake/play/the-winter-s-tale/tei,35.0,15.0,67.0,"[[ 0  1]
 [ 1 18]
 [ 2 20]
 [ 3 14]
 [ 4  8]
 [ 5  3]
 [ 6  2]
 [ 8  1]]",26.87,29.85,70.15,41.79,34.661,1.48,13.0,19.403,52.15
C_16,La sposa persiana,Goldoni,Carlo,1753.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX150.HTM,12.0,51.0,53.0,"[[ 1 14]
 [ 2 24]
 [ 3  9]
 [ 4  4]
 [ 5  2]]",26.42,45.28,54.72,28.3,7.358,1.023,7.0,13.208,12.69
C_17,Il filosofo inglese,Goldoni,Carlo,1754.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX089.HTM,13.0,82.0,94.0,"[[ 1 19]
 [ 2 41]
 [ 3 15]
 [ 4 12]
 [ 5  5]
 [ 6  1]
 [ 7  1]]",20.21,43.62,56.38,36.17,6.537,1.252,10.0,10.638,11.36
C_18,Il cavaliere giocondo,Goldoni,Carlo,1755.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX040.HTM,14.0,57.0,87.0,"[[ 1 10]
 [ 2 36]
 [ 3 21]
 [ 4 10]
 [ 5  5]
 [ 6  2]
 [ 7  1]
 [ 8  1]
 [ 9  1]]",11.49,41.38,58.62,47.13,11.795,1.51,11.0,12.644,14.88
C_19,Ircana in Ispaan,Goldoni,Carlo,1756.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX116.HTM,15.0,53.0,68.0,"[[ 1 13]
 [ 2 29]
 [ 3 17]
 [ 4  6]
 [ 5  1]
 [ 6  2]]",19.12,42.65,57.35,38.24,18.151,1.113,4.0,5.882,25.57
C_20,Il cavaliere di spirito o sia La donna di testa debole,Goldoni,Carlo,1757.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX049.HTM,7.0,38.0,41.0,"[[ 1 10]
 [ 2 26]
 [ 3  5]]",24.39,63.41,36.59,12.2,3.049,0.592,3.0,7.317,4.94
C_21,L’apatista o sia L’indifferente,Goldoni,Carlo,1758.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX049.HTM,8.0,34.0,46.0,"[[ 1  9]
 [ 2 17]
 [ 3 10]
 [ 4  7]
 [ 5  3]]",19.57,36.96,63.04,43.48,11.667,1.156,3.0,6.522,14.71
C_22,La donna di governo,Goldoni,Carlo,1758.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX060.HTM,11.0,42.0,59.0,"[[ 1 13]
 [ 2 21]
 [ 3  8]
 [ 4 10]
 [ 5  5]
 [ 6  1]
 [ 8  1]]",22.03,35.59,64.41,42.37,15.523,1.489,6.0,10.169,22.55
C_23,I morbinosi,Goldoni,Carlo,1759.0,5.0,http://www.intratext.com/IXT/ITA1289/_IDX112.HTM,15.0,36.0,50.0,"[[ 0  1]
 [ 1  7]
 [ 2 11]
 [ 3 12]
 [ 4 10]
 [ 5  6]
 [ 6  2]
 [ 7  1]]",14.0,22.0,78.0,62.0,21.02,1.521,6.0,12.0,31.56
C_24,Der Russe in Deutschland,Kotzebue,August von,1806.0,5.0,,7.0,38.0,43.0,"[[ 1 14]
 [ 2 20]
 [ 3  7]
 [ 4  2]]",32.56,46.51,53.49,20.93,4.341,0.818,1.0,2.326,6.59
