title	last_name	first_name	date
La pupilla	Goldoni	Carlo	1751
Il Molière	Goldoni	Carlo	1751
La sposa persiana	Goldoni	Carlo	1753
Il festino	Goldoni	Carlo	1754
Il filosofo inglese	Goldoni	Carlo	1754
Terenzio	Goldoni	Carlo	1754
Il cavaliere giocondo	Goldoni	Carlo	1755
Il Torquato Tasso	Goldoni	Carlo	1755
Ircana in Julfa	Goldoni	Carlo	1755
Le massere	Goldoni	Carlo	1755
Ircana in Ispaan	Goldoni	Carlo	1756
Il campiello	Goldoni	Carlo	1756
La donna stravagante	Goldoni	Carlo	1756
Il medico olandese	Goldoni	Carlo	1756
L'amante di sé medesimo	Goldoni	Carlo	1756
Il padre per amore	Goldoni	Carlo	1757
La donna sola	Goldoni	Carlo	1757
Il cavaliere di spirito o sia La donna di testa debole	Goldoni	Carlo	1757
L’apatista o sia L’indifferente	Goldoni	Carlo	1758
La donna di governo	Goldoni	Carlo	1758
La sposa sagacea	Goldoni	Carlo	1758
Il ricco insidiato	Goldoni	Carlo	1758
Lo spirito di contradizione	Goldoni	Carlo	1758
Le morbinose	Goldoni	Carlo	1758
La donna forte	Goldoni	Carlo	1758
I morbinosi	Goldoni	Carlo	1759
La scuola di ballo	Goldoni	Carlo	1759
