last_name,first_name,num_present_characters,mobility_coefficient,sigma_iarkho,polylogues,monologues,open_form_score
Chalussay,Le Boulanger de,30.0,20.0,3.54,40.0,10.0,2.11
Guérin de Bouscal,Guyon,15.0,19.0,2.14,78.95,0.0,1.33
Girardin,Delphine de,26.0,49.0,2.12,34.69,24.49,1.15
Gosse,Étienne,19.0,75.5,1.69,34.74,21.63,1.03
Beys,Charles de,19.0,44.0,1.55,52.27,9.09,0.99
Grille,François-Joseph,23.5,60.0,1.15,39.39,14.98,0.93
Viennet,Jean-Pons-Guillaume,11.0,65.0,1.86,49.23,15.38,0.89
Robbe,Jacques,16.0,44.0,1.32,56.82,6.82,0.82
Hauteroche,"Noël Lebreton, sieur de",13.75,66.25,1.36,48.12,12.76,0.81
Roux,,13.0,48.0,1.61,60.42,14.58,0.78
Merville,,12.5,53.0,1.5,58.58,14.02,0.75
Boisrobert,François Le Métel de,13.17,37.5,1.43,55.15,3.47,0.67
Poisson,Raymond,12.0,42.0,1.48,51.16,2.33,0.67
Chauveau,,20.0,91.0,1.04,20.88,25.27,0.66
Demoustier,Charles-Albert,11.5,53.5,1.96,43.92,18.71,0.63
Cubières-Palmézeaux,Michel de,24.0,55.0,1.13,34.55,21.82,0.63
Dalban,Pierre-Jean-Baptiste,13.0,53.0,1.57,43.4,13.21,0.59
La Fontaine,Jean de,19.0,49.0,1.61,38.4,22.4,0.59
Bernay,Camille,17.0,67.0,1.27,37.31,22.39,0.56
de Planard,Eugène,14.0,53.0,1.36,43.4,13.21,0.52
Romagnesi,Jean-Antoine,12.0,72.0,1.27,38.89,18.06,0.5
Gillet de la Tessonnerie,N.,13.67,32.67,1.5,52.84,9.03,0.5
Ouville,Antoine d',10.33,51.67,1.3,46.57,8.26,0.43
Lambert,,9.0,48.0,1.46,50.0,10.42,0.4
Dorimond,,13.0,34.0,1.53,50.0,11.76,0.4
Dancourt,,11.0,56.33,1.31,45.6,14.8,0.39
Palaprat,"Jean de, sieur de Bigo",13.0,52.0,1.52,38.46,17.31,0.38
Corneille,Thomas,11.25,42.08,1.14,51.76,5.69,0.37
Delavigne,Casimir,14.5,46.5,1.66,37.35,20.82,0.35
