last_name,first_name,num_present_characters,mobility_coefficient,sigma_iarkho,polylogues,monologues,open_form_score
Chalussay,Le Boulanger de,5.01,-2.29,6.65,0.23,0.95,2.11
Guérin de Bouscal,Guyon,0.97,-2.38,2.64,3.35,2.07,1.33
Girardin,Delphine de,3.93,0.09,2.58,-0.19,-0.67,1.15
Gosse,Étienne,2.05,2.27,1.35,-0.19,-0.35,1.03
Beys,Charles de,2.05,-0.32,0.95,1.22,1.05,0.99
Grille,François-Joseph,3.26,0.99,-0.2,0.19,0.4,0.93
Viennet,Jean-Pons-Guillaume,-0.1,1.4,1.83,0.97,0.35,0.89
Robbe,Jacques,1.24,-0.32,0.29,1.58,1.31,0.82
Hauteroche,"Noël Lebreton, sieur de",0.64,1.51,0.4,0.88,0.64,0.81
Roux,,0.44,0.01,1.12,1.87,0.44,0.78
Merville,,0.3,0.42,0.8,1.72,0.5,0.75
Boisrobert,François Le Métel de,0.48,-0.86,0.6,1.45,1.68,0.67
Poisson,Raymond,0.17,-0.49,0.75,1.13,1.81,0.67
Chauveau,,2.32,3.54,-0.51,-1.3,-0.75,0.66
Demoustier,Charles-Albert,0.03,0.46,2.12,0.55,-0.02,0.63
Cubières-Palmézeaux,Michel de,3.39,0.58,-0.26,-0.2,-0.37,0.63
Dalban,Pierre-Jean-Baptiste,0.44,0.42,1.0,0.51,0.59,0.59
La Fontaine,Jean de,2.05,0.09,1.12,0.11,-0.43,0.59
Bernay,Camille,1.51,1.57,0.14,0.02,-0.43,0.56
de Planard,Eugène,0.7,0.42,0.4,0.51,0.59,0.52
Romagnesi,Jean-Antoine,0.17,1.98,0.14,0.15,0.05,0.5
Gillet de la Tessonnerie,N.,0.61,-1.25,0.8,1.26,1.06,0.5
Ouville,Antoine d',-0.28,0.31,0.23,0.76,1.15,0.43
Lambert,,-0.64,0.01,0.69,1.04,0.9,0.4
Dorimond,,0.44,-1.14,0.89,1.04,0.75,0.4
Dancourt,,-0.1,0.69,0.26,0.68,0.41,0.39
Palaprat,"Jean de, sieur de Bigo",0.44,0.34,0.86,0.11,0.14,0.38
Corneille,Thomas,-0.03,-0.48,-0.23,1.18,1.43,0.37
Delavigne,Casimir,0.84,-0.12,1.26,0.02,-0.26,0.35
Patrat,Joseph,0.44,1.73,-0.06,0.16,-0.52,0.35
du Ryer,Pierre,-0.1,-0.73,0.75,0.52,1.21,0.33
Picard,Louis-Benoît,0.23,0.85,-0.11,0.15,0.22,0.27
Epagny,Violet d',-0.37,0.58,0.66,0.46,0.04,0.27
Étienne,Charles-Guillaume,-0.1,0.91,-0.49,0.43,0.56,0.26
Bonjour,Casimir,0.01,1.52,0.8,-0.16,-0.86,0.26
Scarron,Paul,0.03,-0.69,0.75,0.61,0.55,0.25
Boursault,Edmé,1.24,-0.26,-0.06,0.06,0.28,0.25
Princeteau,Th.,0.44,-0.16,1.46,-0.18,-0.36,0.24
Champmeslé,,-0.1,0.83,-0.43,0.62,0.14,0.21
Laya,Jean-Louis,0.17,-1.31,0.06,1.29,0.67,0.18
Collin d’Harleville,Jean-François,-0.16,0.96,-0.2,0.16,0.07,0.17
Théaulon,Emmanuel,-0.1,0.29,0.72,0.11,-0.18,0.17
Desforges,,0.03,0.48,0.57,0.02,-0.23,0.17
Autreau,Jacques,0.97,0.99,-0.83,-0.7,0.39,0.16
Poya,Pierre,0.97,-0.08,-0.17,-0.07,0.17,0.16
Regnard,Jean-François,0.17,0.27,0.23,0.17,-0.11,0.15
La Ville de Mirmon,Jean de,-0.37,0.09,0.29,0.46,0.24,0.14
Riboutté,François-Louis,-0.37,-0.27,0.95,0.49,-0.11,0.14
Chevalier,,0.44,-0.24,0.4,0.23,-0.17,0.13
Rey,Charles,0.03,1.24,0.23,-0.59,-0.27,0.13
Andrieux,François,-0.1,0.13,0.8,-0.2,-0.07,0.11
Mery,Joseph,0.44,0.25,-0.08,-0.14,0.1,0.11
L. C. D.,,1.24,-1.55,2.66,-0.48,-1.4,0.09
Dampierre de la Salle,,0.17,-0.73,-0.34,0.93,0.35,0.08
Charlemagne,Jean-Armand,-0.1,1.98,-0.2,-0.86,-0.41,0.08
Voltaire,,-0.3,-0.88,0.26,0.47,0.77,0.06
Triquet,C,0.44,0.5,0.09,-0.3,-0.41,0.06
Du Fresny,Charles,-0.24,0.25,-0.08,0.09,0.21,0.05
Rousseau,Jean-Baptiste,-0.1,-0.84,0.52,0.4,0.19,0.03
Molière,,-0.06,-1.26,0.6,0.0,0.83,0.02
Quinault,Philippe,-0.82,-0.82,-0.49,0.68,1.45,0.0
Cailhava D'Estendoux,Jean-François,0.17,0.42,0.06,-0.55,-0.25,-0.03
Palissot de Montenoy,Charles,-0.37,-0.16,-0.29,-0.01,0.61,-0.04
Tristan L'Hermite,François,-0.1,-1.14,0.69,0.56,-0.23,-0.04
Drap-Arnaud,,-0.1,1.24,-0.49,-0.3,-0.59,-0.05
Mennechet,Édouard,-0.37,0.34,-0.23,-0.35,0.35,-0.05
Chabanon,Michel Paul Guy de,1.51,0.66,-0.43,-1.11,-0.92,-0.06
Mareschal,André,-0.77,-1.31,0.37,1.18,0.17,-0.07
Lantier,Étienne François de,-0.37,2.72,-0.63,-0.99,-1.1,-0.07
Néricault Destouches,,-0.27,0.18,0.09,-0.13,-0.28,-0.08
La Ville de Mirmont,Jean de,-0.37,0.75,-0.06,-0.44,-0.28,-0.08
Ch***,,-0.64,-1.39,0.57,0.39,0.63,-0.09
Baron,,0.44,1.03,-0.6,-0.27,-1.03,-0.09
Chappuzeau,Samuel,-0.64,-1.39,0.55,0.13,0.63,-0.14
Gilbert,Gabriel,-0.64,-0.65,-0.43,0.83,0.11,-0.16
Bièvre,Marquis de,-0.1,-0.4,-0.06,-0.36,-0.01,-0.19
Leroy,Onésime,-0.37,1.16,0.14,-0.65,-1.35,-0.21
Duval,Alexandre,-0.8,-0.12,-0.08,0.25,-0.29,-0.21
Moissy,Alexandre-Guillaume de,-0.91,-1.39,0.37,0.13,0.63,-0.23
Piron,Alexis,-0.77,0.79,-0.31,-0.3,-0.67,-0.25
Dupuis,Amable-Joseph,0.17,-0.24,0.17,-0.48,-0.91,-0.26
Augier,Émile,-1.45,-0.32,-0.34,-0.06,0.8,-0.27
Dalban,Pierre Jean Baptiste,-0.64,0.09,-0.03,-0.03,-0.89,-0.3
Dorat,Claude-Joseph,0.03,-0.28,0.29,-1.08,-0.52,-0.31
Montfleury,,-0.54,0.2,-0.69,-0.39,-0.11,-0.31
Barthe,Nicolas-Thomas,0.17,0.66,-0.03,-0.97,-1.52,-0.34
Marcel,,-1.18,-0.9,0.35,0.06,-0.04,-0.34
Billard-Dumonceau,Edme,-1.18,-0.49,0.2,0.27,-0.59,-0.36
de Neufchâteau,Nicolas François,-0.64,2.06,-1.0,-1.0,-1.3,-0.38
Scudery,Georges de,-0.37,-1.23,1.12,-0.54,-0.98,-0.4
Brosse,Abraham,-0.91,-1.23,-0.34,-0.3,0.71,-0.41
Campistron,Jean Galbert de,-0.64,-0.82,0.32,-0.65,-0.28,-0.41
de Rochefort,Guillaume Dubois,-0.64,0.58,-0.86,-0.79,-0.37,-0.42
Fagan,Barthélemy-Christophe,-0.64,0.01,0.23,-0.8,-0.96,-0.43
Roucher,J.F.,-0.91,0.66,-0.17,-0.4,-1.32,-0.43
Desmarets de Saint-Sorlin,Jean,-0.64,-1.14,-1.0,0.09,0.43,-0.45
Montesson,Madame de,0.17,-0.16,-0.89,-1.06,-0.36,-0.46
Michaud,L. G.,-0.1,-1.06,-1.09,-0.22,0.15,-0.46
Fabre d'Églantine,,-0.37,-0.03,-0.46,-0.9,-0.69,-0.49
Rochon de Chabannes,Marc-Antoine-Jacques,-0.91,0.58,-0.66,-0.79,-0.77,-0.51
Borel,,-0.1,0.75,-1.12,-1.28,-1.07,-0.56
L'Estoile,Claude,-0.37,-0.16,-0.26,-0.71,-1.33,-0.57
Dubuisson,Pierre-Ulric,-0.37,-1.06,-0.17,-0.45,-0.8,-0.57
Boissy,Louis de,-0.72,-0.19,-0.77,-0.84,-0.38,-0.58
Chevreau,Urbain,-0.64,-1.47,-0.08,-0.3,-0.54,-0.61
Corneille,Pierre,-0.34,-0.49,-0.77,-1.12,-0.33,-0.61
Reynier,L.,-0.37,0.09,-0.66,-1.01,-1.35,-0.66
Nivelle de la Chaussée,Pierre Claude,-0.71,-0.42,-0.57,-1.05,-0.71,-0.69
Descazeaux Des Granges,,-0.37,-0.08,-0.86,-1.1,-1.26,-0.73
Rotrou,Jean de,-0.37,-0.24,-0.37,-1.19,-1.65,-0.76
Capuran,Louis-Benoit,-0.64,-0.49,-0.89,-0.68,-1.12,-0.76
La Noue,Jean-Baptiste,-0.64,0.09,-1.4,-1.17,-0.67,-0.76
Ancien militaire,,-0.64,0.34,-0.51,-1.28,-1.8,-0.78
Gresset,Jean-Baptiste,-0.64,0.66,-1.12,-2.11,-0.72,-0.79
Courtial,,-0.91,-1.14,-0.31,-0.38,-1.54,-0.86
Imbert,Barthélemy,-0.64,1.24,-1.23,-1.7,-2.19,-0.9
Pieyre,Alexandre,-0.64,1.49,-1.26,-1.88,-2.33,-0.92
Vigée,Louis-Jean-Baptiste-Étienne,-0.37,-0.49,-0.77,-1.64,-1.39,-0.93
Delon,,0.7,-0.16,-1.63,-2.27,-1.33,-0.94
Bret,Antoine,-1.18,0.09,-1.12,-1.5,-1.58,-1.06
Bastide,Jean-François de,-1.45,-0.49,-1.09,-1.44,-2.45,-1.38
