index,title,last_name,first_name,date,translation/adaptation/contrastive,num_acts,url,num_present_characters,num_scenes_text,num_scenes_iarkho,speech_distribution,percentage_monologues,percentage_duologues,percentage_non_duologues,percentage_above_two_speakers,av_percentage_non_speakers,sigma_iarkho,number_scenes_with_discontinuous_change_characters,percentage_scenes_with_discontinuous_change_characters,total_utterances,num_verse_lines,dialogue_vivacity,five_year_intervals,decades
F_51,Les Apparences trompeuses,Boisrobert,François Le Métel de,1655,0,5,,12,45,44,"[[ 1  1]
 [ 2 24]
 [ 3 12]
 [ 4  6]
 [ 7  1]]",2.27,54.55,45.45,43.18,6.288,1.002,7,15.909,,,,1655,1660
F_54,Le Marquis ridicule,Scarron,Paul,1656,0,5,http://www.theatre-classique.fr/pages/documents/SCARRON_MARQUISRIDICULE.xml,10,24,37,"[[ 1  5]
 [ 2 16]
 [ 3  4]
 [ 4  5]
 [ 5  5]
 [ 6  1]
 [ 9  1]]",13.51,43.24,56.76,43.24,22.387,1.692,3,8.108,637,1654,0.385,1660,1660
F_212,La Belle-mère ou les Dangers d'un second mariage,Vigée,Louis-Jean-Baptiste-Étienne,1788,0,5,,10,42,42,"[[ 1 13]
 [ 2 22]
 [ 3  5]
 [ 4  1]
 [ 6  1]]",30.95,52.38,47.62,16.67,4.167,0.95,5,11.905,,,,1790,1790
F_206,L'École des pères,Pieyre,Alexandre,1787,0,5,,9,63,66,"[[ 0  1]
 [ 1 26]
 [ 2 30]
 [ 3  7]
 [ 4  2]]",39.39,45.45,54.55,13.64,10.606,0.785,2,3.03,,,,1790,1790
F_266,Le Faux bonhomme,Duval,Alexandre,1821,0,5,,8,42,45,"[[ 1 14]
 [ 2 19]
 [ 3  6]
 [ 4  3]
 [ 5  3]]",31.11,42.22,57.78,26.67,6.481,1.134,0,0.0,,,,1825,1830
F_284,L'Original,Dalban,Pierre-Jean-Baptiste,1830,0,5,,13,51,53,"[[ 1  7]
 [ 2 23]
 [ 3 13]
 [ 4  4]
 [ 5  2]
 [ 6  2]
 [ 7  1]
 [ 9  1]]",13.21,43.4,56.6,43.4,6.15,1.565,2,3.774,,,,1830,1830
F_78,Elomire Hypocondre ,Chalussay,Le Boulanger de ,1670,0,5,http://www.theatre-classique.fr/pages/documents/LEBOULANGERCHALUSSAY_ELOMIREHYPOCONDRE.xml,30,15,20,"[[ 1  2]
 [ 2 10]
 [ 3  3]
 [ 4  2]
 [ 5  1]
 [ 9  1]
 [17  1]]",10.0,50.0,50.0,40.0,26.764,3.543,3,15.0,533,1770,0.301,1670,1670
F_70,Le Misanthrope,Molière,,1666,0,5,http://www.theatre-classique.fr/pages/documents/MOLIERE_MISANTHROPE.xml,11,22,20,"[[ 2 10]
 [ 3  6]
 [ 4  2]
 [ 7  1]
 [ 8  1]]",0.0,50.0,50.0,50.0,6.06,1.627,1,5.0,505,1812,0.279,1670,1670
F_255,"L'Usurier anobli, ou les Moyens de purger sa réputation",Roux,,1816,0,5,,13,48,48,"[[ 1  7]
 [ 2 12]
 [ 3 12]
 [ 4 10]
 [ 5  3]
 [ 6  3]
 [ 9  1]]",14.58,25.0,75.0,60.42,13.065,1.61,4,8.333,,,,1820,1820
F_249,Le Ministère anglais,Riboutté,François-Louis,1812,0,5,,10,43,45,"[[ 1 10]
 [ 2 15]
 [ 3  8]
 [ 4  3]
 [ 5  7]
 [ 6  1]
 [ 7  1]]",22.22,33.33,66.67,44.44,8.524,1.551,1,2.222,,,,1815,1820
F_25,La Suite du menteur,Corneille,Pierre,1643,0,5,http://www.theatre-classique.fr/pages/documents/CORNEILLEP_SUITEMENTEUR.xml,7,31,33,"[[ 1  2]
 [ 2 19]
 [ 3  8]
 [ 4  3]
 [ 5  1]]",6.06,57.58,42.42,36.36,8.333,0.856,4,12.121,651,1904,0.342,1645,1650
F_29,Jodelet ou Le Maître Valet,Scarron,Paul,1645,0,5,http://www.theatre-classique.fr/pages/documents/SCARRON_JODELET.xml,8,60,60,"[[ 1 16]
 [ 2 25]
 [ 3 14]
 [ 4  2]
 [ 5  2]
 [ 6  1]]",26.67,41.67,58.33,31.67,7.294,1.077,7,11.667,582,1857,0.313,1645,1650
F_8,Le Fils Supposé,Scudery,Georges de ,1635,0,5,http://www.theatre-classique.fr/pages/documents/SCUDERY_FILSSUPPOSE.xml,10,33,33,"[[ 1  9]
 [ 2 14]
 [ 3  5]
 [ 4  3]
 [ 6  1]
 [ 9  1]]",27.27,42.42,57.58,30.3,6.493,1.613,15,45.455,288,1502,0.192,1635,1640
F_9,La Célimène,Rotrou,Jean de,1633,0,5,http://www.xn--thtre-documentation-cvb0m.com/content/r-0?q=node/462,10,36,45,"[[ 0  2]
 [ 1 15]
 [ 2 18]
 [ 3  7]
 [ 4  2]
 [ 6  1]]",33.33,40.0,60.0,22.22,8.963,1.092,5,11.111,,,,1635,1640
F_148,Les Dehors trompeurs,Boissy,Louis de,1740,0,5,http://www.theatre-classique.fr/pages/documents/BOISSY_DEHORSTROMPEURS.xml,9,49,49,"[[ 1  9]
 [ 2 27]
 [ 3 11]
 [ 4  1]
 [ 6  1]]",18.37,55.1,44.9,26.53,9.388,0.889,2,4.082,764,1929,0.396,1740,1740
F_229,L'Entrée dans le monde,Picard,Louis-Benoît ,1798,0,5,,14,60,65,"[[ 1 10]
 [ 2 26]
 [ 3 15]
 [ 4  8]
 [ 5  4]
 [ 6  1]
 [ 7  1]]",15.38,40.0,60.0,44.62,7.859,1.282,3,4.615,,,,1800,1800
F_156,La Gouvernante,Nivelle de la Chaussée,Pierre Claude,1747,0,5,http://www.theatre-classique.fr/pages/documents/NIVELLE_GOUVERNANTE.xml,7,38,40,"[[ 1  8]
 [ 2 21]
 [ 3 10]
 [ 5  1]]",20.0,52.5,47.5,27.5,2.458,0.812,5,12.5,747,1665,0.449,1750,1750
