index	title	last_name	first_name	date	num_acts	url
F_1	Le Eugène	Jodelle	Estienne	1574	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/JODELLE_EUGENE.xml
F_3	Mélite Ou Les Fausses Lettres	Corneille	Pierre	1629	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_MELITE33.xml
F_2	Dom Quixote de la Manche 	Guérin de Bouscal	Daniel	1630	5	
F_4	Pastorale de Janin	Millet	Jean	1633	5	
F_5	La Veuve Ou Le Traître Trahi        	Corneille	Pierre	1634	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_VEUVE34.xml
F_6	La Bague De L'oubli	Rotrou	Jean	1635	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_BAGUEDELOUBLI.xml
F_7	Les Vendanges De Suresnes        	Du Ryer	Pierre	1636	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DURYER_VENDANGESDESURESNES.xml
F_8	Le Fils Supposé	Scudery	Georges de 	1636	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCUDERY_FILSSUPPOSE.xml
F_9	La Célimène	Rotrou	Jean de	1636	5	http://www.xn--thtre-documentation-cvb0m.com/content/r-0?q=node/462
F_10	L'Avocat Dupé	Chevreau	Urbain 	1637	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CHEVREAU_AVOCATDUPE.xml
F_11	La Galerie Du Palais	Corneille	Pierre	1637	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_GALERIEDUPALAIS.xml
F_12	La Suivante	Corneille	Pierre	1637	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_SUIVANTE.xml
F_13	La Place Royale	Corneille 	Pierre	1637	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_PLACEROYALE.xml
F_14	Les Visionnaires	Desmarets de Saint-Sorlin	Jean	1637	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DESMARETS_VISIONNAIRES.xml
F_15	Le Railleur	Mareschal	André	1638	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MARESCHALA_RAILLEUR.xml
F_16	Les Sosies	Rotrou	Jean	1638	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_SOSIES.xml
F_17	L'Illusion Comique	Corneille	Pierre	1639	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_ILLUSIONCOMIQUE.xml
F_18	La Belle Alphrède	Rotrou	Jean	1639	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_BELLEALPHREDE.xml
F_19	Le Véritable Capitan Matamore	Mareschal	André	1640	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MARESCHALA_VERITABLECAPITAINEMATAMORE.xml
F_20	Les Captifs	Rotrou	Jean	1640	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/ROTROU_CAPTIFS.xml
F_21	La Comédie De Francion	Gillet de la Tessonnière	N.	1642	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/GILLET_FRANCION.xml
F_22	Les Fausses Vérités	Ouville 	François le Métel	1643	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/OUVILLE_FAUSSESVERITES.xml
F_23	L'Absent Chez Soi	Ouville 	François le Métel	1643	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/OUVILLE_ABSENTCHEZSOI.xml
F_24	Le Menteur	Corneille	Pierre	1644	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_MENTEUR.xml
F_25	La Suite Du Menteur	Corneille	Pierre	1645	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLEP_SUITEMENTEUR.xml
F_26	Le Jodelet Duelliste	Scarron	Paul	1646	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCARRON_JODELETDUELISTE.xml
F_27	Le Déniaisé        	Gillet de la Tessonnière	N.	1647	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/GILLET_DENIAISE.xml
F_28	La Soeur	Rotrou	Jean de 	1647	5	http://www.xn--thtre-documentation-cvb0m.com/content/r-0?q=node/588
F_29	Le Jodelet Ou Le Maître Valet	Scarron	Paul	1648	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCARRON_JODELET.xml
F_30	L'Héritier ridicule ou la Dame intéressée	Scarron	Paul	1649	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCARRON_HERITIERRIDICULE.xml
F_31	Les Engagements du hasard	Corneille	Thomas	1649	5	http://www.xn--thtre-documentation-cvb0m.com/content/les-engagements-du-hasard-thomas-corneille
F_32	L'Aveugle Clairvoyant	Brosse	Abraham	1650	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/BROSSE_AVEUGLECLAIRVOYANT.xml
F_33	Don Bertrand de Cigarral	Corneille	Thomas	1650	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_DOMBERTRANDECIGARRAL.xml
F_34	Les Soupçons Sur Les Apparences	Ouville 	François le Métel	1650	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/OUVILLE_SOUPCONS.xml
F_35	La Jalouse d'elle-même 	Boisrobert	François Le Métel de	1650	5	
F_36	Le Feint Astrologue	Corneille	Thomas	1651	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_FEINTASTROLOGUE.xml
F_37	L'Amour À La Mode        	Corneille 	Thomas	1651	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_AMOURALAMODE.xml
F_38	La Folle gageure	Boisrobert	François Le Métel de	1651	5	
F_39	Les Trois Orontes	Boisrobert	François Le Métel de	1652	5	
F_40	La Comtesse D'Orgueil	Corneille	Thomas	1653	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_COMTESSEORGUEIL.xml
F_41	Don Japhet D'arménie	Scarron	Paul	1653	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCARRON_DOMJAPHETDARMENIE.xml
F_42	La Belle plaideuse	Boisrobert	François Le Métel de	1653	5	
F_43	Les Rivales	Quinault 	Philippe	1653	5	http://www.xn--thtre-documentation-cvb0m.com/content/q-0?q=node/641
F_44	Les Illustres fous	Beys	Charles de 	1653	5	
F_45	L'Eunuque	la Fontaine	Jean de	1654	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/LAFONTAINE_EUNUQUE.xml
F_46	Le Gardien De Soi-Même	Scarron	Paul	1654	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCARRON_GARDIENDESOIMEME.xml
F_47	Le Parasite	Tristan L'Hermite	François	1654	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/TRISTAN_PARASITE.xml
F_48	L'Amant indiscret ou le Maître étourdi 	Quinault 	Philippe	1654	5	http://www.xn--thtre-documentation-cvb0m.com/content/q-0?q=node/636
F_49	Les Généreux ennemis	Boisrobert	François Le Métel de	1654	5	
F_50	Le Geôlier de soi-même ou Jodelet prince	Corneille	Thomas	1655	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GEOLIERDESOISMEME.xml
F_51	Les Apparences trompeuses	Boisrobert	François Le Métel de	1655	5	
F_52	la belle plaideuse	Boisribert	François 	1655	5	
F_53	Le Dépit Amoureux	Moliere		1656	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_DEPITAMOUREUX.xml
F_54	Le Marquis Ridicule	Scarron	Paul	1656	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/SCARRON_MARQUISRIDICULE.xml
F_56	Les Illustres Ennemis        	Corneille	Thomas	1657	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_ILLUSTRESENNEMIS.xml
F_57	Le Campagnard	Gillet de la Tessonnière	N.	1657	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/GILLET_CAMPAGNARD.xml
F_58	Le Charme De La Voix	Corneille	Thomas	1658	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_CHARMEDELAVOIX.xml
F_59	Les soeurs jalouses	Lambert		1658	5	
F_60	Le Galant Doublé	Corneille	Thomas	1659	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_GALANTDOUBLE.xml
F_61	"La Roselie, ou le Dom Guillot"	Dorimond		1661	5	
F_62	Le Riche mécontent	Chappuzeau	Samuel	1662	5	
F_63	L'École des femmes	Moliere		1663	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_ECOLEDESFEMMES.xml
F_64	L'Étourdi	Moliere		1663	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_ETOURDI.xml
F_65	Le Mari sans femme	Montfleury	Antoine Jacob dit	1663	5	http://www.xn--thtre-documentation-cvb0m.com/content/m-0?q=node/621
F_66	Les Nicandres	Boursault	Edme	1663	5	http://www.xn--thtre-documentation-cvb0m.com/content/boursault-edme?q=node/62
F_67	Les Deux Frères Gémeaux	Boursault	Edme	1665	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/BOURSAULT_DEUXFRERESGEMEAUX.xml
F_68	Le Pédagogue Amoureux	Chevalier 	Jean Simonin dit	1665	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CHEVALIER_PEDAGOGUEAMOUREUX.xml
F_69	La Mère coquette	Quinault	Phillippe	1665	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/QUINAULT_MERECOQUETTE.xml
F_70	Le Misanthrope	Moliere		1666	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_MISANTHROPE.xml
F_71	L’École des filles	Montfleury	Antoine Jacob dit	1666	5	http://www.xn--thtre-documentation-cvb0m.com/content/m-0?q=node/624
F_72	Les Intrigues amoureuses	Gilbert	Gabriel	1666	5	
F_73	La Comédie Sans Comédie	Quinault	Phillippe	1667	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/QUINAULT_COMEDIESANSCOMEDIE.xml
F_74	Le Baron d'Albikrac	Corneille	Thomas	1667	5	http://www.xn--thtre-documentation-cvb0m.com/content/le-baron-dalbikrac-thomas-corneille
F_75	L'Amant qui ne flatte point	Hauteroche 	"Noël Lebreton, sieur de"	1668	5	http://www.xn--thtre-documentation-cvb0m.com/content/h-0?q=node/390
F_76	Le Tartuffe	Moliere		1669	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_TARTUFFE.xml
F_77	La Femme juge et partie	Montfleury	Antoine Jacob dit	1669	5	http://www.xn--thtre-documentation-cvb0m.com/content/m-0?q=node/618
F_78	Elomire Hypocondre 	Chalussay	Le Boulanger de 	1670	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/LEBOULANGERCHALUSSAY_ELOMIREHYPOCONDRE.xml
F_79	Les Pipeurs ou les Femmes coquettes 	Poisson	Raymond	1670	5	
F_80	Le Gentilhomme de Beauce	Montfleury	Antoine Jacob dit	1670	5	http://www.xn--thtre-documentation-cvb0m.com/content/m-0?q=node/620
F_81	Le Mariage sans Mariage	Marcel		1671	5	
F_82	Les Femmes Savantes	Moliere		1672	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/MOLIERE_FEMMESSAVANTES.xml
F_83	La Fille capitaine	Montfleury	Antoine Jacob dit	1672	5	http://www.xn--thtre-documentation-cvb0m.com/content/m-0?q=node/619
F_84	Don César D'Avalos	Corneille	Thomas	1674	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_DOMCESARDAVALOS.xml
F_85	Le Comédien poète	Montfleury; Corneille	Antoine Jacob dit; Thomas	1674	5	
F_86	Crispin musicien	Hauteroche 	"Noël Lebreton, sieur de"	1674	5	http://www.xn--thtre-documentation-cvb0m.com/content/h-0?q=node/386
F_87	Trigaudin ou Martin Braillard	Montfleury	Antoine Jacob dit	1674	5	
F_88	L'Inconnu	Corneille	Thomas	1675	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_INCONNU.xml
F_89	Le Festin de Pierre	Corneille	Thomas	1677	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CORNEILLET_FESTINPIERRE.xml
F_90	Crispin gentilhomme	Montfleury	Antoine Jacob dit	1677	5	http://www.xn--thtre-documentation-cvb0m.com/content/crispin-gentilhomme-montfleury
